FID,Codigo,Nome,Endereco,Numero,Bairro,CEP,DDD,Telefone,CodigoPonto,tematica,link,geomEquipamentoPublico,exibirWeb
EquipamentoPublicoDados.12,12,E.E.E. 2,Rua Rodrigues Alves com Rua José Edilson Félix da Silva,S/N,Canto do Forte,        ,  ,,13,Saneamento - Rede de Esgotamento Sanitário,,POINT (356760.609811647 7344717.29350634),0
EquipamentoPublicoDados.13,13,E.E.E. 34,Rua Brigadeiro Faria Lima com Rua Cynthia Giuffrida,S/N,Canto do Forte,        ,  ,,14,Saneamento - Rede de Esgotamento Sanitário,,POINT (357807.9987043613 7344116.291204326),0
EquipamentoPublicoDados.14,14,E.E.E. 35,Rua Heitor Sanchez com Rua Cynthia Giuffrida,S/N,Canto do Forte,        ,  ,,15,Saneamento - Rede de Esgotamento Sanitário,,POINT (357193.1579276692 7344263.735375108),0
EquipamentoPublicoDados.15,15,E.E.E. 1 Forte,Avenida Presidente Castelo Branco ,101,Canto do Forte,        ,  ,,16,Saneamento - Rede de Esgotamento Sanitário,,POINT (357510.27510445786 7343255.882774672),1
EquipamentoPublicoDados.16,16,E.E.D. Faria Lima,Avenida Presidente Castelo Branco,151,Canto do Forte,        ,  ,,17,Saneamento -Drenagem Urbana,,POINT (357418.516575828 7343300.687451132),0
EquipamentoPublicoDados.17,17,E.E.D. Rio Branco,Avenida Presidente Castelo Branco,761,Canto do Forte,        ,  ,,18,Saneamento -Drenagem Urbana,,POINT (356889.3996079738 7343460.579103901),0
EquipamentoPublicoDados.18,18,USAFA Canto do Forte,Avenida Rio Branco,562,Canto do Forte,11700200,13,34965221,19,Saúde,,POINT (356953.94949785573 7344050.130937125),1
EquipamentoPublicoDados.19,19,Sede de Fiscalização Náutica GCM - Grupamento Náutico,Avenida Presidente Castelo Branco,381,Canto do Forte,11700800,  ,,20,Segurança,,POINT (357488.6254156376 7343173.237444195),1
EquipamentoPublicoDados.20,20,Posto 01 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,551,Canto do Forte,        ,  ,,21,Segurança,,POINT (357085.55732345005 7343411.948497612),1
EquipamentoPublicoDados.22,22,Complexo Cultural Palácio das Artes,Avenida Presidente Costa e Silva,1600,Boqueirão,11700007,13,34965704,23,Cultura,,POINT (356363.58086241654 7345125.431738978),1
EquipamentoPublicoDados.23,23,Secretaria de Cultura e Turismo,Avenida Presidente Costa e Silva,1600,Boqueirão,11700007,13,34965707,24,Administrativo/Serviços,,POINT (356376.5214985224 7345174.797312999),1
EquipamentoPublicoDados.24,24,Escola Municipal Ícaro Batista Cardoso,Rua Pernambuco,865,Boqueirão,11700010,13,34961471,29,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/81,POINT (356292.2958430567 7344404.407967686),1
EquipamentoPublicoDados.25,25,Escola Estadual Doutor Reynaldo Kuntz Busch,Rua Oswaldo de Oliveira,310,Boqueirão,11701120,13,34912400,30,Educação,http://www.educacao.sp.gov.br/central-de-atendimento/Det_contato.asp?op=012359&detmodx=0&cod_mun=558&Ensino=0&Diretoria=0&Modalidade=0&rede=1&nome=&distrito=0&Paginar=2&firsttime=Nao&CD_ADM=1,POINT (355882.3904102172 7344102.076791965),1
EquipamentoPublicoDados.26,26,Escola Estadual Professora Maria Pacheco Nobre,Rua Guanabara,200,Boqueirão,11700030,13,34733077,31,Educação,http://www.educacao.sp.gov.br/central-de-atendimento/Det_contato.asp?op=012233&detmodx=0&cod_mun=558&Ensino=0&Diretoria=0&Modalidade=0&rede=1&nome=&distrito=0&Paginar=1&firsttime=Nao&CD_ADM=1,POINT (356355.64326400217 7344721.38522253),1
EquipamentoPublicoDados.27,27,FATEC Praia Grande,Rua Guanabara,144,Boqueirão,11700100,13,35911303,32,Educação,http://www.fatecpg.com.br/default.aspx,POINT (356349.1046940868 7344509.610830832),1
EquipamentoPublicoDados.28,28,Biblioteca Municipal Celso Chini,Avenida Presidente Costa e Silva,1600,Boqueirão,11700007,13,34965358,469,Educação,,POINT (356370.53719543695 7345150.257364251),1
EquipamentoPublicoDados.30,30,Escola Municipal Anahy Navarro Trovão,Rua Limeira,69,Boqueirão,11701260,13,34735547,34,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/62,POINT (356213.9533444472 7344679.840838208),1
EquipamentoPublicoDados.31,31,Escola Municipal Carlos Roberto Dias,Avenida Duque de Caxias,999,Boqueirão,11700060,13,34965304,35,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/63,POINT (356439.5620242127 7344532.955155057),1
EquipamentoPublicoDados.32,32,Escola Municipal Manoel Nascimento Júnior,Rua Cornélio Procópio,191,Boqueirão,11700120,13,34965325,36,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/12,POINT (356498.70310479496 7344548.267246559),1
EquipamentoPublicoDados.33,33,Escola Municipal São Francisco de Assis,Rua Cornélio Procópio,300,Boqueirão,11700120,13,34965335,38,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/64,POINT (356367.4439120112 7344575.004211888),1
EquipamentoPublicoDados.34,34,Porto do Aprendiz Elida Joazeiro do Nascimento Santos,Rua Jaú,1158,Boqueirão,11701190,13,3496-5372,39,Educação,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=50&cdProjeto=69,POINT (356128.28749181516 7343921.866516216),1
EquipamentoPublicoDados.36,36,Pista de Esportes Radicais Mineirinho,Rua Acre,101,Boqueirão,        ,  ,,41,Esporte,,POINT (356390.9109883356 7344901.044353953),1
EquipamentoPublicoDados.37,37,FPGPREV,"Rua Jaú (Ed. Jocafra, 5º Andar, Salas 52/53/54/55 )",880,Boqueirão,11701190,13,34961952,42,Assistência Social,https://www.fpgprev.sp.gov.br/,POINT (356254.6968059221 7343902.849579513),1
EquipamentoPublicoDados.38,38,PROCON Praia Grande,"Rua Jaú (Ed. Jocafra, 7º Andar, Sala 72)",880,Boqueirão,11701190,13,34736810,42,Administrativo/Serviços,http://www.procon.sp.gov.br/index.asp,POINT (356254.6968059221 7343902.849579513),1
EquipamentoPublicoDados.39,39,Câmara Municipal de Praia Grande,Praça Vereador Vital Muniz,1,Boqueirão,11701050,13,34761700,45,Administrativo/Serviços,,POINT (355873.2963781212 7343753.532797487),1
EquipamentoPublicoDados.40,40,Receita Federal,Avenida Presidente Costa e Silva,792,Boqueirão,11700007,13,35915654,46,Administrativo/Serviços,,POINT (356248.1950921639 7344351.357311584),1
EquipamentoPublicoDados.41,41,Secretaria de Meio Ambiente,Avenida Presidente Costa e Silva,794,Boqueirão,11700007,13,34965733,46,Administrativo/Serviços,,POINT (356248.1950921639 7344351.357311584),1
EquipamentoPublicoDados.42,42,Secretaria de Serviços Urbanos,Avenida Presidente Costa e Silva,794,Boqueirão,11700007,  ,162,46,Administrativo/Serviços,,POINT (356248.1950921639 7344351.357311584),1
EquipamentoPublicoDados.43,43,Conviver Boqueirão – Nea Cordovil Borges de Souza,Avenida Presidente Castelo Branco,1401,Boqueirão,11700015,13,34965060,49,Assistência Social,mailto:conviverboqueirao@praiagrande.sp.gov.br,POINT (356217.51355643396 7343524.750093896),1
EquipamentoPublicoDados.45,45,Secretaria de Assistência Social,Rua Emancipador Paulo Fefin,775,Boqueirão,11701140,13,34965001,51,Administrativo/Serviços,,POINT (355761.7364016919 7344594.179489617),1
EquipamentoPublicoDados.46,46,CREAS Boqueirão,Rua Emancipador Paulo Fefin,701,Boqueirão,11701140,13,34965033,52,Assistência Social,,POINT (355754.9563057093 7344542.7787551675),1
EquipamentoPublicoDados.48,48,Conselho Tutelar Norte,Rua Dair Borges,463,Boqueirão,11701120,13,34744312,53,Assistência Social,,POINT (355771.78015889466 7344440.7145932745),1
EquipamentoPublicoDados.49,49,E.E.E. Guarujá,Avenida Presidente Kennedy com Rua Guarujá,S/N,Boqueirão,        ,  ,,54,Saneamento - Rede de Esgotamento Sanitário,,POINT (356251.28448801796 7344964.086729758),0
EquipamentoPublicoDados.50,50,E.E.D. São Paulo,Avenida Presidente Castelo Branco,1811,Boqueirão,        ,  ,,55,Saneamento -Drenagem Urbana,,POINT (355835.5977899459 7343530.596356126),0
EquipamentoPublicoDados.51,51,PEV – Ecoponto Boqueirão,Rua Guanabara,50,Boqueirão,11700030,  ,,56,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (356326.8715456544 7344531.800605109),1
EquipamentoPublicoDados.52,52,CAPS i – Infantil - Centro de Atenção Psicossocial Infantil,Rua São Bernardo,401,Boqueirão,11701240,13,34965161,57,Saúde,,POINT (355852.93886077864 7344589.830091339),1
EquipamentoPublicoDados.53,53,CAPS II - Centro de Atenção Psicossocial II,Rua Cidade de Santos,89,Boqueirão,11701280,13,34965227,60,Saúde,,POINT (356200.80674969836 7344794.45878679),1
EquipamentoPublicoDados.54,54,"CTAP - Centro de Testagem, Aconselhamento e Prevenção",Rua Cidade de Santos,89,Boqueirão,11701280,13,34965235,60,Saúde,,POINT (356200.80674969836 7344794.45878679),1
EquipamentoPublicoDados.55,55,SAE - Serviço de Atendimento Especializado,Rua Cidade de Santos,89,Boqueirão,11701280,13,34965235,60,Saúde,,POINT (356200.80674969836 7344794.45878679),1
EquipamentoPublicoDados.56,56,CAPS AD - Álcool e Drogas - Centro de Atenção Psicossocial Álcool e Drogas,Rua São Caetano,400,Boqueirão,11701230,13,3496-5260,61,Saúde,,POINT (355849.5382498876 7344559.873639551),1
EquipamentoPublicoDados.57,57,Complexo Hospitalar Irmã Dulce,Rua Dair Borges,550,Boqueirão,11701210,13,34764400,62,Saúde,http://fuabc.org.br/nossas-unidades/hospital-irma-dulce,POINT (355681.979801646 7344477.815530045),1
EquipamentoPublicoDados.59,59,Centro de Nefrologia de Praia Grande,Avenida Presidente Costa e Silva,1389,Boqueirão,11700005,13,33565870,64,Saúde,,POINT (356303.2102217331 7344955.456509196),1
EquipamentoPublicoDados.61,61,2° Distrito Policial,Rua Pernambuco,885,Boqueirão,11700010,  ,190,66,Segurança,,POINT (356292.5031466042 7344440.648379664),1
EquipamentoPublicoDados.63,63,Feira de Artesanato - Espaço Multiuso Praça de Portugal,Avenida Presidente Castelo Branco,20368,Guilhermina,        ,  ,,68,Cultura,,POINT (355397.5747310348 7343493.620222652),1
EquipamentoPublicoDados.64,64,ETEC Praia Grande,Avenida Guadalajara,943,Guilhermina,11702210,13,34911585,69,Educação,https://www.etecpg.com.br/,POINT (354010.37498779985 7344081.586065447),1
EquipamentoPublicoDados.65,65,Escola Estadual Doutor Abrahão Jacob Lafer,Rua Leme,9562,Guilhermina,11701470,13,34911090,70,Educação,http://www.educacao.sp.gov.br/central-de-atendimento/Det_contato.asp?op=012051&detmodx=0&cod_mun=558&Ensino=0&Diretoria=0&Modalidade=0&rede=1&nome=&distrito=0&Paginar=1&firsttime=Nao&CD_ADM=1,POINT (355336.56488639483 7344338.940339836),1
EquipamentoPublicoDados.66,66,Escola Municipal Professor Fued Temer,Rua Leme,27,Guilhermina,11701470,13,34965373,71,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/22,POINT (355386.4183972534 7344332.589543768),1
EquipamentoPublicoDados.67,67,Escola Municipal República de Portugal,Avenida Fumio Myiazi,599,Guilhermina,11701715,13,34965333,72,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/10,POINT (355627.6996490301 7344318.272202254),1
EquipamentoPublicoDados.68,68,Escola Municipal Roberto Mário Santini,Rua Quito,81,Guilhermina,11702230,13,34965361,73,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/42,POINT (354065.29960060236 7344095.795539205),1
EquipamentoPublicoDados.69,69,Cartório Eleitoral 317ª Zona,Avenida Guilhermina,267,Guilhermina,11702050,13,34736750,74,Administrativo/Serviços,,POINT (355443.81021825876 7343833.595762134),1
EquipamentoPublicoDados.70,70,Gráfica Municipal,Rua Copacabana,530,Guilhermina,11701670,13,34734332,75,Administrativo/Serviços,,POINT (355601.4881509282 7344051.566570763),1
EquipamentoPublicoDados.71,71,Conviver Guilhermina,Rua Praia dos Sonhos,245,Guilhermina,11701390,13,34767060,76,Assistência Social,mailto:conviverguilhermina@praiagrande.sp.gov.br,POINT (355512.1545969594 7344533.210498719),1
EquipamentoPublicoDados.72,72,E.E.E. Canadá,Rua Canadá com Rua Antilhas,S/N,Guilhermina,        ,  ,,77,Saneamento - Rede de Esgotamento Sanitário,,POINT (354443.91297613276 7343904.92465232),0
EquipamentoPublicoDados.73,73,Agência de Atendimento SABESP,Rua Doutor João Sampaio,126,Guilhermina,11702010,  ,08000550195,78,Administrativo/Serviços,,POINT (355127.6929871034 7343567.354836498),1
EquipamentoPublicoDados.74,74,E.E.D. Campo de Pouso,Avenida Presidente Castelo Branco,2811,Guilhermina,        ,  ,,79,Saneamento -Drenagem Urbana,,POINT (354742.4387320369 7343346.1510954145),0
EquipamentoPublicoDados.75,75,E.E.D. São Salvador,Avenida Presidente Castelo Branco,2351,Guilhermina,        ,  ,,80,Saneamento -Drenagem Urbana,,POINT (355327.09520954895 7343471.543380529),0
EquipamentoPublicoDados.79,79,Posto 03 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,2641,Guilhermina,        ,  ,,84,Segurança,,POINT (355008.2014780159 7343408.115342553),1
EquipamentoPublicoDados.80,80,Escola Estadual Reverendo Augusto Paes D' Avila,Rua Doutor Júlio de Mesquita Filho,729,Aviação,11702350,13,34812613,85,Educação,,POINT (353642.75596415804 7343794.114133269),1
EquipamentoPublicoDados.81,81,Escola Municipal João Gonçalves - Joãozinho da Aviação,Rua Frei Henrique de Coimbra,2,Aviação,11702595,13,34965379,86,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/32,POINT (353447.415666599 7343309.687224367),1
EquipamentoPublicoDados.82,82,Escola Municipal Circe Sanchez Toschi,Rua Mem de Sá,1,Aviação,11702570,  ,,87,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/5,POINT (353511.96371784416 7343187.16101421),1
EquipamentoPublicoDados.83,83,Escola Municipal Professora Isabel Figueroa Bréfere,Rua João Ramalho,1250,Aviação,11702820,13,34965331,88,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/39,POINT (352372.81794286624 7343081.950870778),1
EquipamentoPublicoDados.84,84,Escola Municipal Layde Rodrigues Reis Loria,Rua Gaspar de Lemos,100,Aviação,11702850,13,34965409,89,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/8,POINT (352261.69370165205 7343113.529398301),1
EquipamentoPublicoDados.85,85,Pista de Esportes Radicais Aviação,Avenida Presidente Castelo Branco,3984,Aviação,        ,  ,,90,Esporte,,POINT (353749.3337454006 7343057.042595901),1
EquipamentoPublicoDados.86,86,IASFA III - Instituição de Acolhimento São Francisco de Assis,Rua Thomé de Souza,1313,Aviação,11702840,  ,,91,Assistência Social,,POINT (352273.4721511443 7343195.9508328745),1
EquipamentoPublicoDados.87,87,E.E.D. Monte Castelo,Avenida Presidente Castelo Branco,5031,Aviação,        ,  ,,92,Saneamento -Drenagem Urbana,,POINT (352739.56367098755 7342737.933434852),0
EquipamentoPublicoDados.88,88,PEV – Ecoponto Aviação,Rua José Alves Maciel,170,Aviação,11702440,13,34962000,93,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (353588.90982002456 7343538.8430399),1
EquipamentoPublicoDados.90,90,Posto 04 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,3901,Aviação,        ,  ,,95,Segurança,,POINT (353803.26897997805 7343090.324790706),1
EquipamentoPublicoDados.91,91,Escola Estadual Vila Tupi,Rua Bororós,26904,Tupi,11703390,13,34714190,96,Educação,http://www.educacao.sp.gov.br/central-de-atendimento/Det_contato.asp?op=909836&detmodx=0&cod_mun=558&Ensino=0&Diretoria=0&Modalidade=0&rede=1&nome=&distrito=0&Paginar=2&firsttime=Nao&CD_ADM=1,POINT (351493.82976867957 7342745.898676096),1
EquipamentoPublicoDados.92,92,Escola Municipal José Padin Mouta,Rua Bororós,150,Tupi,11703390,13,34965321,98,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/34,POINT (351391.5867589227 7342696.418963575),1
EquipamentoPublicoDados.93,93,Escola Municipal Vila Tupiry,Rua Itamacas,70,Tupi,11703780,13,34965339,99,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/55,POINT (351027.5269117891 7342555.60172591),1
EquipamentoPublicoDados.94,94,Ginásio Rodrigão,Avenida Presidente Kennedy,5563,Tupi,11703200,13,34965425,100,Esporte,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=50&cdProjeto=76,POINT (351388.67008670326 7342858.709896438),1
EquipamentoPublicoDados.95,95,Centro de Excelência de Judô João Carlos Ribeiro Manso Júnior,Rua Carimbó com Rua Arari,55,Tupi,11703400,13,34965425,101,Esporte,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=50&cdProjeto=76,POINT (351427.93794645666 7342777.506715996),1
EquipamentoPublicoDados.97,97,Subsecretaria da Juventude,"Rua Xavantes, Edifício Saveiro/Gaivota",51,Tupi,11703300,13,34965684,103,Administrativo/Serviços,,POINT (351520.16695265804 7342351.840476783),1
EquipamentoPublicoDados.98,98,Casa dos Conselhos,"Rua Xavantes, Edifício Saveiro/Gaivota",51,Tupi,11703300,  ,,103,Administrativo/Serviços,,POINT (351520.16695265804 7342351.840476783),1
EquipamentoPublicoDados.99,99,Viveiro,Rua Antônio Renato Gambini,33,Tupi,11703220,  ,,104,Administrativo/Serviços,,POINT (351573.7272287647 7343215.2837871015),1
EquipamentoPublicoDados.100,100,Espaço Conviver Tupi,"Rua Xavantes, Edifício Saveiro/Gaivota",51,Tupi,11703300,13,34965017,105,Assistência Social,mailto:convivertupi@praiagrande.sp.gov.br,POINT (351510.3659863115 7342338.567088915),1
EquipamentoPublicoDados.101,101,Super Escola Cultural,"Rua Xavantes, Edifício Saveiro/Gaivota",51,Tupi,11703300,13,34962362,106,Educação,,POINT (351526.59611549263 7342338.999049781),1
EquipamentoPublicoDados.102,102,E.E.E. 2 Tupi,Avenida Presidente Castelo Branco ,6295,Tupi,        ,  ,,107,Saneamento - Rede de Esgotamento Sanitário,,POINT (351561.6281993768 7342271.8307858845),1
EquipamentoPublicoDados.103,103,E.E.D. Napoleão Laureano,Avenida Presidente Castelo Branco,6671,Tupi,        ,  ,,108,Saneamento -Drenagem Urbana,,POINT (351224.6518193548 7342150.836837227),0
EquipamentoPublicoDados.106,106,1º Distrito Policial,Avenida Doutor Roberto de Almeida Vinhas,11084,Tupi,11703500,  ,,111,Assistência Social,,POINT (351551.605845099 7343295.389646785),1
EquipamentoPublicoDados.107,107,Posto 05 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,5775,Tupi,        ,  ,,112,Segurança,,POINT (351991.373346827 7342453.655859039),1
EquipamentoPublicoDados.108,108,Feira de Artesanato - Espaço Multiuso Praça Doutor Roberto Andraus,Avenida Dom Pedro II,147,Ocian,        ,  ,,113,Cultura,,POINT (350018.6116062026 7341782.352097189),1
EquipamentoPublicoDados.110,110,Escola Estadual Jardim Bopeva,Rua Monteiro Lobato,883,Ocian,11704150,13,34944391,115,Educação,,POINT (350008.2642690539 7342446.365735559),1
EquipamentoPublicoDados.111,111,Escola Municipal Florivaldo Borges de Queiroz,Rua Monteiro Lobato,721,Ocian,11704150,13,34965412,116,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/71,POINT (350089.22897010326 7342385.104492765),1
EquipamentoPublicoDados.112,112,Escola Municipal Lions Clube Ocian,Rua Teófila Vanderlinde,933,Ocian,11704460,13,34965323,117,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/60,POINT (349085.773140174 7342187.419412597),1
EquipamentoPublicoDados.113,113,PEV – Ecoponto Ocian,Rua Gilberto Amado,276,Ocian,11704290,  ,,118,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (350118.87790579087 7341855.394068574),1
EquipamentoPublicoDados.114,114,Polo de Atividades de Praia Ocian,Avenida Presidente Castelo Branco,7899,Ocian,        ,  ,,120,Esporte,,POINT (350036.63178106473 7341680.508093924),1
EquipamentoPublicoDados.115,115,Pista de Esportes Radicais Ocian,Avenida Presidente Castelo Branco,7714,Ocian,        ,  ,,121,Esporte,,POINT (350203.3531871823 7341729.884089907),1
EquipamentoPublicoDados.116,116,Boutique do Peixe Ocian,Avenida Presidente Castelo Branco ,4795,Ocian,        ,  ,,122,Administrativo/Serviços,,POINT (350377.01247238315 7341819.177364809),1
EquipamentoPublicoDados.117,117,Cartório Eleitoral 406ª Zona,Rua Doutor Vicente de Carvalho,220,Ocian,11704300,13,34714216,123,Administrativo/Serviços,,POINT (350022.312890246 7341909.551885276),1
EquipamentoPublicoDados.118,118,Vivência Ocian - Maria Fernanda Albuquerque de Campos,Avenida Presidente Castelo Branco,7715,Ocian,11706500,13,34965061,124,Assistência Social,,POINT (350168.26438796875 7341716.283020592),1
EquipamentoPublicoDados.119,119,Booster Ocian,Rua Oceânica Amábile ,1080,Ocian,        ,  ,,125,Saneamento - Rede de Abastecimento de Água,,POINT (349179.8359692335 7342387.679306315),1
EquipamentoPublicoDados.120,120,Reservatório de Água – Ocian,Rua Oceânica Amábile ,1080,Ocian,        ,  ,,125,Saneamento - Rede de Abastecimento de Água,,POINT (349179.8359692335 7342387.679306315),1
EquipamentoPublicoDados.121,121,E.E.D. Carlos Gomes,Avenida Presidente Castelo Branco,7561,Ocian,        ,  ,,127,Saneamento -Drenagem Urbana,,POINT (350377.3503905286 7341810.326734925),0
EquipamentoPublicoDados.122,122,Academia de Saúde Ocian,Rua José Jorge,559,Ocian,11704090,  ,,128,Saúde,,POINT (349944.1259883536 7342448.097441213),1
EquipamentoPublicoDados.123,123,USAFA Ocian,Rua José Jorge,521,Ocian,11704090,13,34965245,128,Saúde,,POINT (349944.1259883536 7342448.097441213),1
EquipamentoPublicoDados.124,124,Posto 07 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,7557,Ocian,        ,  ,,130,Segurança,,POINT (350314.43141147034 7341790.365039604),1
EquipamentoPublicoDados.126,126,Escola Municipal Oswaldo Justo,Rua 1° de Janeiro,987,Mirim,11704800,13,34965346,132,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/28,POINT (348092.19694995397 7341777.187285785),1
EquipamentoPublicoDados.127,127,Escola Municipal Vila Mirim,Rua 23 de Outubro,116,Mirim,11704810,13,34965338,133,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/46,POINT (348201.99026119517 7342017.861569973),1
EquipamentoPublicoDados.128,128,Secretaria de Educação,Rua José Borges Netto,50,Mirim,11705010,13,34962350,134,Administrativo/Serviços,,POINT (348132.47018480295 7341658.877749495),1
EquipamentoPublicoDados.129,129,Escola Municipal Governador Orestes Quércia,Rua 1º de Janeiro,1221,Mirim,11704800,13,34965406,135,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/37,POINT (347885.67225565924 7341901.465279939),1
EquipamentoPublicoDados.130,130,Ginásio Falcão,Avenida Presidente Kennedy,8169,Mirim,11705005,13,34965422,136,Esporte,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=50&cdProjeto=76,POINT (348861.6210807632 7341808.625458235),1
EquipamentoPublicoDados.131,131,Piscina Vila Mirim,Rua Gilberto Fouad Beck,1200,Mirim,11705040,  ,,137,Esporte,,POINT (348290.559038822 7341015.358844275),1
EquipamentoPublicoDados.132,132,Defensoria Pública do Estado de São Paulo,Avenida Ubirajara Keutenedjian,51,Mirim,11705065,13,34944498,138,Administrativo/Serviços,https://www.defensoria.sp.def.br/dpesp/,POINT (348011.69954638893 7341368.21828795),1
EquipamentoPublicoDados.133,133,Fórum Doutor Guilherme Penteado de Campos,Avenida Doutor Roberto de Almeida Vinhas,9101,Mirim,11705900,  ,,139,Administrativo/Serviços,,POINT (347647.3488927343 7341897.03118214),1
EquipamentoPublicoDados.134,134,Fórum Trabalhista Juiz João de Freitas Guimarães,Rua José Borges Netto,160,Mirim,11705010,  ,,140,Administrativo/Serviços,,POINT (348025.17448205274 7341726.690859652),1
EquipamentoPublicoDados.135,135,Auditório Jornalista Roberto Marinho,Rua José Borges Netto,50,Mirim,11705010,  ,,141,Educação,,POINT (348145.33287844807 7341636.44251321),1
EquipamentoPublicoDados.136,136,Espaço para Eventos Piaçabuçu,Avenida Asterio Genario,100,Mirim,        ,  ,,142,Administrativo/Serviços,,POINT (347944.85425857594 7341692.4976638),1
EquipamentoPublicoDados.137,137,Lar São Francisco de Assis,Rua Joanna Imparato de Souza Ferreira,151,Mirim,11705100,13,34942694,144,Assistência Social,,POINT (347603.8009900328 7341694.552400964),1
